title,words,characters,no spaces,no punctuation,no both
Chapter 173: Rejected by the Heavens? Plunder!,1887,11208,9322,10870,8984
Chapter 174: Perfect Mid Foundation Establishment!,2039,11840,9802,11504,9466
Chapter 175: Li Shiqi,2098,12042,9945,11573,9476
Chapter 176: Believe Your Granny,1938,10861,8924,10436,8499
Chapter 177: Using its Strength,2023,11177,9155,10722,8700
Chapter 178: An Old Friend,1834,10666,8833,10304,8471
Chapter 179: Sect Brothers,2064,11517,9454,11027,8964
Chapter 180: Shan Ling,2131,11895,9765,11465,9335
"Chapter 181: Meeting Ones Match, the General Meets the Genius",1953,10825,8873,10319,8367
Chapter 182: Theres Always a Bird Out There Thats Better Than You,2096,11528,9433,11027,8932
Chapter 183: How Long Since We Saw That Shy Face?,1955,10884,8930,10453,8499
Chapter 184: Seven Exterminations,1815,10227,8413,9913,8099
Chapter 185: Gathering at the Song Clan,1987,11157,9171,10752,8766
Chapter 186: Another Encounter with Wang Tengfei,2362,13333,10972,12877,10516
Chapter 187: Good Old Fatty,2366,13312,10947,12874,10509
Chapter 188: True Love is Priceless,2069,11675,9607,11245,9177
Chapter 189: All the Enemies Arrive,2128,11936,9809,11498,9371
Chapter 190: Respected Senior,1973,11208,9236,10820,8848
Chapter 191: Defeat after Defeat!,1928,10927,9000,10547,8620
Chapter 192: Games with Han Bei,2101,11626,9526,11200,9100
Chapter 193: The Flower Blooms at Dawn!,2091,11792,9702,11401,9311
Chapter 194: Will of the World Tree,2471,14305,11835,13854,11384
Chapter 195: Suppressing Everyone,1669,9624,7956,9309,7641
Chapter 196: Followed by All Eyes,1723,9807,8085,9506,7784
Chapter 197: Sublime Spirit Scripture!,1893,10541,8649,10192,8300
Chapter 198: The Number One Person in Foundation Establishment!,1888,10972,9085,10668,8781
Chapter 199: The Tenth Path!,1914,10772,8859,10434,8521
Chapter 200: Killing Amidst the Night Rain!,1938,11132,9195,10792,8855
Chapter 201: The Dao Child Fights!,1869,10794,8926,10479,8611
Chapter 202: Confrontation of the Peaks!,1922,11049,9128,10721,8800
Chapter 203: I am Strong! I Shall Take My Stand!,2088,11930,9843,11534,9447
Chapter 204: The League of Demon Sealers!,1373,7934,6562,7648,6276
Chapter 205: Dispelling Poison with the Cubic Pearl!,1940,11259,9320,10900,8961
Chapter 206: The Huang Clan Five Immortals,2115,11710,9596,11213,9099
Chapter 207: This is a Pretty Nice Immortals Cave,1939,11142,9204,10667,8729
Chapter 208: Ask Not The Heavens Regarding Slaying the Flower,1886,10795,8910,10321,8436
Chapter 209: Opportunity for a Secret Meeting,2087,11914,9828,11567,9481
Chapter 210: Joining the Violet Fate Sect,2195,12416,10222,12039,9845
Chapter 211: A Despicable Name,2277,12787,10511,12328,10052
Chapter 212: Nature Talent Appears!,2024,11662,9639,11284,9261
Chapter 213: Violet Fate Celestial Land,2211,13043,10833,12696,10486
Chapter 214: We Finally Meet Again.,2364,13723,11360,13289,10926
Chapter 215: Lift Your Head,2314,13095,10782,12628,10315
Chapter 216: The Meaning of Grandmaster,2326,13249,10924,12887,10562
Chapter 217: Struggling for Plant Mastery,2090,12556,10467,12251,10162
Chapter 218: First Round First Place!,2106,12270,10165,11909,9804
Chapter 219: Not Fair!,2108,12321,10214,11950,9843
Chapter 220: Promotion to Master Alchemist!,2085,12008,9924,11651,9567
Chapter 221: A Newcomer to the Dao of Alchemy,2895,16593,13699,16071,13177
Chapter 222: Signs of Rocking the Violet Fate Sect,2102,11811,9710,11396,9295
Book 3 Chapter 222 - interlude,375,2043,1669,1964,1590
Chapter 223: How Alchemist Fang Carries Himself,2323,13240,10918,12796,10474
"Chapter 224: Medicinal Pills Can Foster Life, Poison Can Exterminate It!",2307,13053,10747,12682,10376
Chapter 225: Rising to the Pinnacle!,2038,11974,9937,11651,9614
Chapter 226: Lius Rule!,2285,12946,10662,12565,10281
Chapter 227: Pill Blacklist!,2271,12729,10459,12300,10030
Chapter 228: Falling Leaves are Beautiful; They Only Live One Season,2170,12397,10228,12027,9858
"Chapter 229: Because this Will, Can Only Belong to Devils!",2306,12992,10687,12558,10253
Chapter 230: Bury Devils Beneath the Earth,2111,12278,10168,11927,9817
Chapter 231: Pill Auction,2134,12467,10334,12087,9954
Chapter 232: Bedevilment Pill!,2108,12390,10283,12084,9977
"Chapter 233: The Earth, The Heavens!",1929,11459,9531,11060,9132
Chapter 234: Grandmaster Pill Cauldron,2116,12454,10339,12090,9975
Chapter 235: Apprentice's Fee,2462,14364,11903,13792,11331
Chapter 236: More Aftershocks,2155,12639,10485,12326,10172
Chapter 237: Meeting Grandmaster Pill Cauldron,2343,13362,11020,12897,10555
Chapter 238: Determined to Prevail!,2223,12806,10584,12403,10181
"Chapter 239: Li Fugui - Give Me Face, or Give Me Death!",1868,10658,8791,10260,8393
Chapter 240: Screw This,1829,10262,8434,9864,8036
Chapter 241: Violet Qi from the East,2154,12490,10337,12111,9958
Chapter 242: Alchemy Dao Transmutation Incantation,2177,12536,10360,12236,10060
Chapter 243: I Dare You To Say That Again!,2164,12515,10352,12079,9916
Chapter 244: Debate in the Alchemy Valley,2120,12016,9897,11580,9461
Chapter 245: Back To the Black Sieve Sect,2373,13507,11135,13079,10707
Chapter 246: World Pill Division,2021,11726,9706,11339,9319
Chapter 247: Kill Me!,2120,11987,9868,11578,9459
Chapter 248: The Origin of Time!,2049,11762,9714,11420,9372
Chapter 249: Reconciled,2239,12662,10424,12272,10034
Chapter 250: Giving Birth to the Transformations of the Sun and Moon,2154,12302,10149,11890,9737
Chapter 251: Meng Haos Dao of Alchemy!,2040,11719,9680,11323,9284
Chapter 252: Crushing,2265,13299,11035,12823,10559
Chapter 253: Primordial Heavenly Replenishing Pill!,2075,11900,9826,11524,9450
Chapter 254: Thunder Across a Plain,2136,12190,10055,11726,9591
Chapter 255: She Was Floating in the Wind,2246,12599,10354,12251,10006
Chapter 256: Bottom Line,2155,12128,9974,11737,9583
Chapter 257: Soul Refining,2219,12817,10599,12452,10234
Chapter 258: Grand Matriarch Phoenix,2201,12309,10109,11905,9705
Chapter 259: I Want To Watch You Fade Into the Distance,2130,11848,9719,11452,9323
Chapter 260: Five Years Without a Fight!,2101,11953,9853,11603,9503
Chapter 261: The Killing Heart is Still There!,2034,11783,9750,11418,9385
Chapter 262: First Battle with Core Formation!,2098,12212,10115,11803,9706
Chapter 263: Ancient Dao Geyser,2294,13472,11179,13103,10810
Chapter 264: A Shout Like a Clap of Thunder,1681,9839,8159,9516,7836
Chapter 265: Out of Seclusion!,2241,12700,10460,12339,10099
Chapter 266: The Faceless Azure Hero!,2103,12180,10078,11763,9661
Chapter 267: Black Lands Cultivators,2057,11631,9575,11293,9237
Chapter 268: The Height of the Heavens and the Depth of the Earth,1973,11372,9400,10968,8996
Chapter 269: Hes the Faceless Azure Hero!,1973,11388,9416,10986,9014
Chapter 270: Battling Core Formation!,1891,11209,9319,10866,8976
"Chapter 271: Soul Emergence Sword, Slay the Lone Star!",1923,11172,9250,10824,8902
Chapter 272: Massive Cultivation Base Breakthrough!,1946,11278,9333,10951,9006
"Chapter 273: Tenth Dao Pillar, Form!",1889,11191,9303,10887,8999
Chapter 274: The Flag Flies; Destroy the Three Incarnations!,2013,11821,9809,11456,9444
Chapter 275: The Difference Between Meng Hao and Fang Mu!,2156,12634,10479,12258,10103
Chapter 276: Stop Fooling Around,2421,13745,11325,13322,10902
Chapter 277: Eastern Emergence Mountain,2126,12121,9996,11780,9655
Chapter 278: The Tenth Candidate,2302,13166,10865,12758,10457
Chapter 279: Opening the Pill Furnace,2013,11526,9514,11190,9178
Chapter 280: Life Furnace?,1952,11161,9210,10830,8879
Chapter 281: Rather Die Than Submit!,2219,12355,10137,11963,9745
Chapter 282: The First Region,2020,11568,9549,11252,9233
Chapter 283: Goofing Off,2269,13294,11026,12922,10654
Chapter 284: Three People; Three Daos of Alchemy,2350,13537,11188,13169,10820
Chapter 285: Who is the Strongest?,1897,11046,9150,10663,8767
Book 3 Chapter 285 Interlude,526,2863,2338,2729,2204
Chapter 286: The Most Powerful!,2162,12715,10554,12335,10174
Chapter 287: Creating Something out of Nothing,2091,11810,9720,11404,9314
Chapter 288: Peach Blossom,2239,12315,10077,11841,9603
Chapter 289: Which Path to Choose?,2233,12233,10001,11787,9555
Chapter 290: This Life,2270,12457,10188,12032,9763
Chapter 291: A Thousand Pills Form a Cauldron!,2912,16895,13984,16330,13419
Chapter 292: Pill Cauldron Fang Mu,1271,7575,6305,7347,6077
Chapter 293: Legacy Apprentice,2241,12619,10379,12191,9951
Chapter 294: Complete Legacy!,2604,14786,12183,14352,11749
Chapter 295: Green Mark,2184,12735,10552,12372,10189
Chapter 296: Another Encounter with Ji!,2222,12904,10683,12501,10280
Chapter 297: Still Somewhat Pleased With Himself,2210,12436,10227,12024,9815
Chapter 298: The Corpse Moved!,2016,11502,9487,11149,9134
Chapter 299: Destroying Totems in the Maze,1889,10849,8961,10477,8589
Chapter 300: An Ancient Starry Sky,2057,11618,9562,11253,9197
Chapter 301: Immortal Shows the Way,2204,12319,10116,11864,9661
Chapter 302: Crisis!,2130,11931,9802,11462,9333
Chapter 303: The Bloodline of the Ji Clan,2078,11534,9457,11150,9073
Chapter 304: Core Formation!!,1857,10734,8878,10339,8483
Chapter 305: Do You Dare to Kill Me!?,2197,12391,10195,11969,9773
Chapter 306: Slaying Ji!,2276,12717,10442,12295,10020
Chapter 307: Fang Mu is Meng Hao!,2266,12635,10370,12198,9933
Chapter 308: Im His Master!,2264,12588,10325,12196,9933
Chapter 309: Another Wave Rises,2091,11970,9880,11601,9511
Chapter 310: Blazing as Brilliantly as Ever!,2087,11643,9557,11220,9134
Chapter 311: Now That is a Cultivator!,2042,11638,9597,11280,9239
"Chapter 312: Because This Person, Is Filled With Insanity!",2032,11759,9728,11425,9394
Chapter 313: She's an Immortal!,2105,12107,10003,11704,9600
Book 4,531,2844,2314,2744,2214
Chapter 314: Art of Righteous Bestowal,2177,12249,10073,11882,9706
Chapter 315: The Immortals Cave of Huang Daxian,2435,13878,11444,13400,10966
Chapter 316: Meng Haos Virtue,2231,12767,10537,12325,10095
Chapter 317: I am an Ancient Celestial Bird!,2390,13351,10962,12854,10465
"Chapter 318: Have Faith in the Lord Fifth, Gain Eternal Life!",2367,13596,11230,13114,10748
Chapter 319: A Booming Voice from the Rubble,2277,13310,11034,12905,10629
Chapter 320: Igniting the Alchemic Flame,2097,12060,9964,11717,9621
Chapter 321: Cover Over Li With the Heavens!,2481,14114,11634,13659,11179
Chapter 322: Ji Clan Bag of Holding,2082,11941,9860,11547,9466
Chapter 323: Goddess Duo Lan,2287,12740,10454,12303,10017
Chapter 324: The Cutting Edge of the Black Lands,2006,11304,9299,10959,8954
Chapter 325: Tribulation Transcending Miraculous Life Form!,2103,12207,10105,11753,9651
Chapter 326: I Havent Tried That Out Before!,2318,13268,10951,12827,10510
Chapter 327: Angry Dongluo Ling!,1980,11355,9376,10924,8945
Chapter 328: Establishing Strength!,2121,12057,9937,11632,9512
Chapter 329: Lord Fifth Flies Into a Rage,2096,11904,9809,11495,9400
Chapter 330: Ill Marry Anyone But You!,2221,12593,10373,12175,9955
Chapter 331: Just Steal It!,2075,11737,9663,11336,9262
Chapter 332: The Great Con,2076,11716,9641,11283,9208
Chapter 333: Conning the Whole Way,2138,12203,10066,11800,9663
Chapter 334: Celestial Spell Formation,2135,12344,10210,11969,9835
Chapter 335: Valiant!,1962,11664,9703,11331,9370
Chapter 336: League of Hellfire!,2125,12397,10273,12001,9877
Chapter 337: Perfect Gold Core Pill,1378,8071,6694,7863,6486
Chapter 338: Perfect Immortal Body!,2055,11754,9700,11381,9327
Chapter 339: Vengeance To Be Had!,2037,11695,9659,11299,9263
"Chapter 340: One Aura, Three Bodies",1954,11359,9406,10992,9039
Chapter 341: Chase Big-Head to the Death!,2132,12441,10310,12011,9880
Chapter 342: Patriarch Golden Light!,2151,12248,10098,11869,9719
Chapter 343: Rent by Lightning!,2192,12307,10116,11902,9711
Chapter 344: The Great Church of the Golden Light!,1891,10936,9046,10648,8758
Chapter 345: Lotus Sword Formation!,2263,12825,10563,12432,10170
Chapter 346: Who The Hell Are You?!,2027,11766,9740,11417,9391
Chapter 347: The Magical Fog Becomes a Sea!,1315,7556,6242,7292,5978
Chapter 348: Assault on Dongluo City,1977,11262,9286,10910,8934
Chapter 349: Killing With Poison of Time!,2111,12193,10083,11829,9719
Chapter 350: The Indomitability of Time,1939,11054,9116,10722,8784
Chapter 351: Peacock Screwing City,2153,12184,10032,11813,9661
Chapter 352: Chaos in the Black Lands!,2026,11518,9493,11199,9174
Chapter 353: Grand Dragoneer!,1358,7927,6570,7659,6302
Chapter 354: Hanxue Shan,2124,12326,10203,12001,9878
Chapter 355: Flying Rain-Dragon Up Above!,1922,11219,9298,10868,8947
Chapter 356: How Unforeseen.,2079,11701,9623,11306,9228
Chapter 357: Proud Sir Zhou,2278,12932,10655,12517,10240
Chapter 358: The Renown of Pill Cauldron,2128,12076,9949,11688,9561
Chapter 359: Zhou Dekun and Meng Hao,1973,11177,9205,10796,8824
Chapter 360: Zhou Dekuns Treasured Pill,1968,11619,9652,11235,9268
Chapter 361: A Tiny Favor,2039,11650,9612,11263,9225
Chapter 362: Still Wont Believe,1937,10745,8809,10313,8377
Chapter 363: A First Glimpse at the Five Elements,2082,11874,9793,11474,9393
Chapter 364: The Last Main Ingredient!,2174,12677,10504,12276,10103
Chapter 365: A Grand Scam,2541,14334,11794,13809,11269
Chapter 366: The Path of Five Colors,2157,12237,10081,11859,9703
"Chapter 367: Meng, You Twerp, Do You Dare To Fight Me Or Not?!",2127,12382,10256,12018,9892
Chapter 368: Secret Dragoneer Technique,2049,12019,9971,11667,9619
Chapter 369: Thorn Rampart,2046,11679,9634,11357,9312
Chapter 370: Spirit Severing Pill,2179,12577,10399,12180,10002
Chapter 371: Concocting a Nascent Soul like Concocting Pills!,2073,11486,9414,11112,9040
Chapter 372: Did You Forget?,2226,12445,10220,12058,9833
Chapter 373: How Could It Be Him!?,1270,7126,5857,6897,5628
Chapter 374: Spirit Severing Descends,2015,11607,9593,11239,9225
Chapter 375: Incredible Good Fortune!,2025,11542,9518,11170,9146
Chapter 376: Brands!,1919,10947,9029,10604,8686
Chapter 377: Agarwood!!,2169,12723,10555,12250,10082
Chapter 378: Exterminate the Spirit!,1885,10971,9087,10594,8710
Chapter 379: Offers,1400,8101,6702,7836,6437
Chapter 380: Eyeless Larva!,2192,12247,10056,11876,9685
"Chapter 381: Whenever It Snows, Think of Me!",2274,13118,10845,12647,10374
Chapter 382: Eyeless But Not Voiceless!,1993,11519,9527,11163,9171
Chapter 383: An Eternal Breath,1458,8326,6869,8068,6611
Chapter 384: MY Gold Core Tribulation!,2060,12115,10056,11715,9656
Chapter 385: Bring It On!,2070,12339,10270,11949,9880
"Chapter 386: Five Colored Sky, Cultivation Base Breakthrough!",2086,12403,10318,12044,9959
Chapter 387: The Ninth Generation Demon Sealers First Sealing of the Heavens!,2048,12207,10160,11824,9777
Chapter 388: Breaking Out of The Cocoon,2129,12217,10089,11847,9719
Chapter 389: Appointment With Yan Song,2252,12835,10584,12423,10172
Chapter 390: The Five Tribes of the Crow Divinity,2319,13186,10868,12758,10440
Chapter 391: Initial Entry into the Crow Scout Tribe,2291,12914,10624,12465,10175
Chapter 392: The Great War of the Crow Divinity,2199,12508,10310,12083,9885
Chapter 393: The Path of the Dragoneer,2301,13200,10900,12779,10479
Chapter 394: The Demon Nurturing Pill Causes a Furor!,2199,12639,10441,12263,10065
Chapter 395: Really Set Something Off.,1913,11067,9155,10715,8803
Chapter 396: A Real Demon Nurturing Pill!,1975,11330,9356,11013,9039
Chapter 397: Wu Chen,2299,12885,10587,12528,10230
Chapter 398: Branch of the Demon Sealers,1987,11219,9233,10805,8819
"Chapter 399: Senior, Save Me",1849,10533,8685,10129,8281
